date,league,home_team,away_team,home_goals,away_goals,status,season
2024-09-16T23:00:00Z,BSA,SC Internacional,Cuiabá EC,3,0,FINISHED,2024
2024-09-21T19:00:00Z,BSA,SC Corinthians Paulista,AC Goianiense,3,0,FINISHED,2024
2024-09-21T19:00:00Z,BSA,EC Vitória,EC Juventude,1,0,FINISHED,2024
2024-09-21T21:30:00Z,BSA,Fluminense FC,Botafogo FR,0,1,FINISHED,2024
2024-09-22T00:00:00Z,BSA,Fortaleza EC,EC Bahia,4,1,FINISHED,2024
2024-09-22T19:00:00Z,BSA,CA Mineiro,RB Bragantino,3,0,FINISHED,2024
2024-09-22T19:00:00Z,BSA,CR Vasco da Gama,SE Palmeiras,0,1,FINISHED,2024
2024-09-22T21:30:00Z,BSA,Cuiabá EC,Cruzeiro EC,0,0,FINISHED,2024
2024-09-22T21:30:00Z,BSA,Grêmio FBPA,CR Flamengo,3,2,FINISHED,2024
2024-09-22T21:30:00Z,BSA,São Paulo FC,SC Internacional,1,3,FINISHED,2024
2024-09-22T23:00:00Z,BSA,Criciúma EC,CA Paranaense,0,0,FINISHED,2024
2024-09-25T22:00:00Z,BSA,RB Bragantino,SC Internacional,2,2,FINISHED,2024
2024-09-25T22:00:00Z,BSA,Grêmio FBPA,Criciúma EC,1,2,FINISHED,2024
2024-09-28T21:30:00Z,BSA,SE Palmeiras,CA Mineiro,2,1,FINISHED,2024
2024-09-29T00:00:00Z,BSA,Botafogo FR,Grêmio FBPA,0,0,FINISHED,2024
2024-09-29T14:00:00Z,BSA,EC Juventude,RB Bragantino,1,1,FINISHED,2024
2024-09-29T19:00:00Z,BSA,AC Goianiense,Fluminense FC,1,0,FINISHED,2024
2024-09-29T19:00:00Z,BSA,Fortaleza EC,Cuiabá EC,1,0,FINISHED,2024
2024-09-29T19:00:00Z,BSA,São Paulo FC,SC Corinthians Paulista,3,1,FINISHED,2024
2024-09-29T21:30:00Z,BSA,EC Bahia,Criciúma EC,1,0,FINISHED,2024
2024-09-29T21:30:00Z,BSA,Cruzeiro EC,CR Vasco da Gama,1,1,FINISHED,2024
2024-09-29T21:30:00Z,BSA,SC Internacional,EC Vitória,3,1,FINISHED,2024
2024-09-29T23:00:00Z,BSA,CR Flamengo,CA Paranaense,1,0,FINISHED,2024
2024-10-03T22:00:00Z,BSA,Criciúma EC,AC Goianiense,2,0,FINISHED,2024
2024-10-04T00:30:00Z,BSA,Fluminense FC,Cruzeiro EC,1,0,FINISHED,2024
2024-10-05T00:30:00Z,BSA,Grêmio FBPA,Fortaleza EC,3,1,FINISHED,2024
2024-10-05T19:30:00Z,BSA,CA Paranaense,Botafogo FR,0,1,FINISHED,2024
2024-10-05T19:30:00Z,BSA,CA Mineiro,EC Vitória,2,2,FINISHED,2024
2024-10-05T19:30:00Z,BSA,RB Bragantino,SE Palmeiras,0,0,FINISHED,2024
2024-10-05T22:00:00Z,BSA,EC Bahia,CR Flamengo,0,2,FINISHED,2024
